sensor,agg,axis,feature_name,feature_importance
tBodyAcc,mean(),X,tBodyAcc-mean()-X,0.0002459352255478498
tBodyAcc,mean(),Y,tBodyAcc-mean()-Y,0.00011140848026662481
tBodyAcc,mean(),Z,tBodyAcc-mean()-Z,0.00018112981573731427
tBodyAcc,std(),X,tBodyAcc-std()-X,0.004850483396972533
tBodyAcc,std(),Y,tBodyAcc-std()-Y,0.0004736063671576733
tBodyAcc,std(),Z,tBodyAcc-std()-Z,0.0002767657553509376
tBodyAcc,mad(),X,tBodyAcc-mad()-X,0.007653542607131941
tBodyAcc,mad(),Y,tBodyAcc-mad()-Y,0.00029525408629603916
tBodyAcc,mad(),Z,tBodyAcc-mad()-Z,0.00036403443083980915
tBodyAcc,max(),X,tBodyAcc-max()-X,0.00875947935858729
tBodyAcc,max(),Y,tBodyAcc-max()-Y,0.00025763086763219456
tBodyAcc,max(),Z,tBodyAcc-max()-Z,0.00016830548812533794
tBodyAcc,min(),X,tBodyAcc-min()-X,0.002409673593228558
tBodyAcc,min(),Y,tBodyAcc-min()-Y,0.0001875939334124063
tBodyAcc,min(),Z,tBodyAcc-min()-Z,0.0001574978328887731
tBodyAcc,sma(),,tBodyAcc-sma(),0.001029705934285257
tBodyAcc,energy(),X,tBodyAcc-energy()-X,0.005442422040615732
tBodyAcc,energy(),Y,tBodyAcc-energy()-Y,0.00027031396037216574
tBodyAcc,energy(),Z,tBodyAcc-energy()-Z,0.00035694415636182045
tBodyAcc,iqr(),X,tBodyAcc-iqr()-X,0.0008973868651111812
tBodyAcc,iqr(),Y,tBodyAcc-iqr()-Y,0.00026643393981983025
tBodyAcc,iqr(),Z,tBodyAcc-iqr()-Z,0.0002517960639015427
tBodyAcc,entropy(),X,tBodyAcc-entropy()-X,0.001492085371607923
tBodyAcc,entropy(),Y,tBodyAcc-entropy()-Y,0.00035726939379665556
tBodyAcc,entropy(),Z,tBodyAcc-entropy()-Z,0.00035717553608965037
tBodyAcc,arCoeff(),"X,1","tBodyAcc-arCoeff()-X,1",0.000980209549595775
tBodyAcc,arCoeff(),"X,2","tBodyAcc-arCoeff()-X,2",0.00022063018169536923
tBodyAcc,arCoeff(),"X,3","tBodyAcc-arCoeff()-X,3",0.00021663536578596054
tBodyAcc,arCoeff(),"X,4","tBodyAcc-arCoeff()-X,4",0.00024164929037680138
tBodyAcc,arCoeff(),"Y,1","tBodyAcc-arCoeff()-Y,1",0.0002843683372814518
tBodyAcc,arCoeff(),"Y,2","tBodyAcc-arCoeff()-Y,2",0.00023172704929148464
tBodyAcc,arCoeff(),"Y,3","tBodyAcc-arCoeff()-Y,3",0.00019381939765242766
tBodyAcc,arCoeff(),"Y,4","tBodyAcc-arCoeff()-Y,4",0.00036521045824163586
tBodyAcc,arCoeff(),"Z,1","tBodyAcc-arCoeff()-Z,1",0.0003169501497842795
tBodyAcc,arCoeff(),"Z,2","tBodyAcc-arCoeff()-Z,2",0.0001699518087003068
tBodyAcc,arCoeff(),"Z,3","tBodyAcc-arCoeff()-Z,3",0.00014477292340131262
tBodyAcc,arCoeff(),"Z,4","tBodyAcc-arCoeff()-Z,4",0.00030179373894379175
tBodyAcc,correlation(),"X,Y","tBodyAcc-correlation()-X,Y",0.007339205518734258
tBodyAcc,correlation(),"X,Z","tBodyAcc-correlation()-X,Z",0.0012051737637495301
tBodyAcc,correlation(),"Y,Z","tBodyAcc-correlation()-Y,Z",0.0038264750297390226
tGravityAcc,mean(),X,tGravityAcc-mean()-X,0.020152838935421014
tGravityAcc,mean(),Y,tGravityAcc-mean()-Y,0.025802792811025887
tGravityAcc,mean(),Z,tGravityAcc-mean()-Z,0.009437863935850305
tGravityAcc,std(),X,tGravityAcc-std()-X,0.0018791075102981413
tGravityAcc,std(),Y,tGravityAcc-std()-Y,0.0012916422103952149
tGravityAcc,std(),Z,tGravityAcc-std()-Z,0.00022500716855132768
tGravityAcc,mad(),X,tGravityAcc-mad()-X,0.001208764360328212
tGravityAcc,mad(),Y,tGravityAcc-mad()-Y,0.0007884596783271784
tGravityAcc,mad(),Z,tGravityAcc-mad()-Z,0.0003702149525681188
tGravityAcc,max(),X,tGravityAcc-max()-X,0.02608482959342624
tGravityAcc,max(),Y,tGravityAcc-max()-Y,0.02499237474114531
tGravityAcc,max(),Z,tGravityAcc-max()-Z,0.009444171192499202
