sensor,agg,axis,feature_name,feature_importance
tBodyAcc,mean(),X,tBodyAcc-mean()-X,0.00019206243032255033
tBodyAcc,mean(),Y,tBodyAcc-mean()-Y,0.00022418782690843516
tBodyAcc,mean(),Z,tBodyAcc-mean()-Z,0.00022251296425443388
tBodyAcc,std(),X,tBodyAcc-std()-X,0.00728621272901648
tBodyAcc,std(),Y,tBodyAcc-std()-Y,0.0003587982290925998
tBodyAcc,std(),Z,tBodyAcc-std()-Z,0.0005916613392122819
tBodyAcc,mad(),X,tBodyAcc-mad()-X,0.0015279904544309103
tBodyAcc,mad(),Y,tBodyAcc-mad()-Y,0.0007237716172684456
tBodyAcc,mad(),Z,tBodyAcc-mad()-Z,0.00023508084274422432
tBodyAcc,max(),X,tBodyAcc-max()-X,0.00278056151613139
tBodyAcc,max(),Y,tBodyAcc-max()-Y,0.00021765738865370477
tBodyAcc,max(),Z,tBodyAcc-max()-Z,0.00010752792335327924
tBodyAcc,min(),X,tBodyAcc-min()-X,0.00048758624987199997
tBodyAcc,min(),Y,tBodyAcc-min()-Y,0.00030208819243795576
tBodyAcc,min(),Z,tBodyAcc-min()-Z,0.00014835792266903842
tBodyAcc,sma(),,tBodyAcc-sma(),0.0015716482673746074
tBodyAcc,energy(),X,tBodyAcc-energy()-X,0.004998665120222809
tBodyAcc,energy(),Y,tBodyAcc-energy()-Y,0.00024925107424689593
tBodyAcc,energy(),Z,tBodyAcc-energy()-Z,0.0004616841245462394
tBodyAcc,iqr(),X,tBodyAcc-iqr()-X,0.001727671324524668
tBodyAcc,iqr(),Y,tBodyAcc-iqr()-Y,0.000538364187464148
tBodyAcc,iqr(),Z,tBodyAcc-iqr()-Z,0.0003584513719206546
tBodyAcc,entropy(),X,tBodyAcc-entropy()-X,0.0012662744782595396
tBodyAcc,entropy(),Y,tBodyAcc-entropy()-Y,0.00035020294934364816
tBodyAcc,entropy(),Z,tBodyAcc-entropy()-Z,0.00037929656221740403
tBodyAcc,arCoeff(),"X,1","tBodyAcc-arCoeff()-X,1",0.00017905928443506501
tBodyAcc,arCoeff(),"X,2","tBodyAcc-arCoeff()-X,2",0.00032292595631437464
tBodyAcc,arCoeff(),"X,3","tBodyAcc-arCoeff()-X,3",0.00019308687104836088
tBodyAcc,arCoeff(),"X,4","tBodyAcc-arCoeff()-X,4",0.0002687109940974837
tBodyAcc,arCoeff(),"Y,1","tBodyAcc-arCoeff()-Y,1",0.00025425535997314526
tBodyAcc,arCoeff(),"Y,2","tBodyAcc-arCoeff()-Y,2",0.0002205037513771007
tBodyAcc,arCoeff(),"Y,3","tBodyAcc-arCoeff()-Y,3",0.00016812803419952605
tBodyAcc,arCoeff(),"Y,4","tBodyAcc-arCoeff()-Y,4",0.0002514746210628378
tBodyAcc,arCoeff(),"Z,1","tBodyAcc-arCoeff()-Z,1",6.789044813359921e-05
tBodyAcc,arCoeff(),"Z,2","tBodyAcc-arCoeff()-Z,2",0.0001961587584293359
