사용일자,요일,노선명,역명,승하차총승객수
2019-01-01,화,2호선,을지로4가,7590.0
2019-01-01,화,3호선,을지로3가,15658.0
2019-01-01,화,2호선,을지로입구,43808.0
2019-01-01,화,2호선,시청,14430.0
2019-01-01,화,6호선,동묘앞,16549.0
2019-01-01,화,1호선,제기동,20365.0
2019-01-01,화,1호선,신설동,13762.0
2019-01-01,화,4호선,동대문,19794.0
2019-01-01,화,1호선,종로5가,26860.0
2019-01-01,화,1호선,종각,37602.0
2019-01-01,화,2호선,동대문역사문화공원,22803.0
2019-01-01,화,2호선,신당,14135.0
2019-01-01,화,2호선,상왕십리,11683.0
2019-01-01,화,2호선,한양대,5091.0
2019-01-01,화,2호선,뚝섬,10086.0
2019-01-01,화,2호선,성수,16271.0
2019-01-01,화,2호선,건대입구,59322.0
2019-01-01,화,2호선,구의,20377.0
2019-01-01,화,2호선,강변,56640.0
2019-01-01,화,2호선,잠실나루,10368.0
2019-01-01,화,2호선,잠실,91401.0
2019-01-01,화,2호선,잠실새내,22578.0
2019-01-01,화,2호선,종합운동장,8008.0
2019-01-01,화,2호선,삼성,49644.0
2019-01-01,화,2호선,선릉,21291.0
2019-01-01,화,2호선,역삼,20995.0
2019-01-01,화,2호선,강남,75273.0
2019-01-01,화,2호선,교대,18499.0
2019-01-01,화,2호선,서초,8580.0
2019-01-01,화,2호선,방배,11019.0
2019-01-01,화,2호선,사당,39188.0
2019-01-01,화,2호선,낙성대,27490.0
2019-01-01,화,2호선,서울대입구,50865.0
2019-01-01,화,2호선,봉천,21997.0
2019-01-01,화,2호선,신림,74191.0
2019-01-01,화,2호선,신대방,28970.0
2019-01-01,화,2호선,구로디지털단지,49673.0
2019-01-01,화,7호선,대림,33921.0
2019-01-01,화,2호선,신도림,51935.0
2019-01-01,화,2호선,문래,11963.0
2019-01-01,화,2호선,영등포구청,13053.0
2019-01-01,화,2호선,당산,16629.0
2019-01-01,화,2호선,합정,33825.0
