역명,승하차총승객수,역지역,위도,경도,호선
을지로4가,7590.0,수도권,37.5666369,126.997623,2호선
을지로3가,15658.0,수도권,37.56627618,126.9909675,3호선
을지로입구,43808.0,수도권,37.5660229,126.982184,2호선
시청,14430.0,수도권,37.56533728,126.9771812,2호선
동묘앞,16549.0,수도권,37.57321306,127.0163461,6호선
제기동,20365.0,수도권,37.57816449,127.0349359,1호선
신설동,13762.0,수도권,37.57602276,127.0244522,1호선
동대문,19794.0,수도권,37.571664,127.010618,4호선
종로5가,26860.0,수도권,37.57096169,127.0015395,1호선
종각,37602.0,수도권,37.57022168,126.9831338,1호선
동대문역사문화공원,22803.0,수도권,37.56564549,127.0089872,2호선
신당,14135.0,수도권,37.56566224,127.0194685,2호선
상왕십리,11683.0,수도권,37.56443486,127.0292701,2호선
한양대,5091.0,수도권,37.55570879,127.0436172,2호선
뚝섬,10086.0,수도권,37.54723796,127.0473692,2호선
성수,16271.0,수도권,37.54458522,127.0560579,2호선
건대입구,59322.0,수도권,37.54039761,127.0692029,2호선
구의,20377.0,수도권,37.53716086,127.0861718,2호선
강변,56640.0,수도권,37.53511805,127.094723,2호선
잠실나루,10368.0,수도권,37.5206944,127.1037997,2호선
잠실,91401.0,수도권,37.51330927,127.1002152,2호선
잠실새내,22578.0,수도권,37.51160835,127.0863007,2호선
종합운동장,8008.0,수도권,37.51113026,127.0738359,2호선
삼성,49644.0,수도권,37.50881193,127.0630209,2호선
선릉,21291.0,수도권,37.50449378,127.0489481,2호선
역삼,20995.0,수도권,37.50066001,127.0364604,2호선
강남,75273.0,수도권,37.49808544,127.0279777,2호선
교대,18499.0,수도권,37.49273596,127.0138634,2호선
서초,8580.0,수도권,37.49183552,127.007644,2호선
방배,11019.0,수도권,37.48145613,126.9975353,2호선
사당,39188.0,수도권,37.47655322,126.9815495,2호선
낙성대,27490.0,수도권,37.47708963,126.9635058,2호선
서울대입구,50865.0,수도권,37.4812845,126.9526951,2호선
